disease_name,symptoms,Description,precautions,tablets,message_hinglish
Allergy,continuous sneezing shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering chills,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering chills,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
Allergy,continuous sneezing shivering chills watering from eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","apply calamine, cover area with bandage, use ice to compress itching",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Allergy ho sakta hai.
GERD,stomach pain acidity ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue vomiting chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue vomiting cough,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,acidity ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain ulcers on tongue vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity vomiting cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
GERD,stomach pain acidity ulcers on tongue cough chest pain,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko GERD ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Chronic cholestasis,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","cold baths, anti itch medicine, consult doctor, eat healthy",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Chronic cholestasis ho sakta hai.
Drug Reaction,itching skin rash stomach pain burning micturition spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching stomach pain burning micturition spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching skin rash burning micturition spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching skin rash stomach pain spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching skin rash stomach pain burning micturition,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,skin rash stomach pain burning micturition spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching stomach pain burning micturition spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching skin rash burning micturition spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching skin rash stomach pain spotting  urination,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Drug Reaction,itching skin rash stomach pain burning micturition,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"stop irritation, consult nearest hospital, stop taking drug, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Drug Reaction ho sakta hai.
Peptic ulcer diseae,vomiting loss of appetite abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,indigestion loss of appetite abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting loss of appetite abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion loss of appetite passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain passage of gases,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
Peptic ulcer diseae,vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Peptic ulcer diseae ho sakta hai.
AIDS,muscle wasting patches in throat high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,patches in throat high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting patches in throat extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting patches in throat high fever,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting patches in throat high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting patches in throat high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,patches in throat high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting high fever extra marital contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
AIDS,muscle wasting patches in throat high fever,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","avoid open cuts, wear ppe if possible, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko AIDS ho sakta hai.
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Diabetes ho sakta hai.
Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","have balanced diet, exercise, consult doctor, follow up",Consult a doctor for specific dosage,Aapke lakshano se lagta hai ki aapko Diabetes ho sakta hai.
